title,genres,language,country,release_year,director,actors,imdb_link,watched_date
No Strings Attached,Comedy|Romance,English,USA,2011,Ivan Reitman,Natalie Portman|Greta Gerwig|Mindy Kaling,http://www.imdb.com/title/tt1411238/,2011-12-28
The Grey,Action|Adventure|Drama|Thriller,English,USA,2011,Joe Carnahan,Liam Neeson|Frank Grillo|James Badge Dale,http://www.imdb.com/title/tt1601913/,2011-08-26
The Sitter,Comedy,English,USA,2011,David Gordon Green,Ari Graynor|J.B. Smoove|Kylie Bunbury,http://www.imdb.com/title/tt1366344/,2011-03-26
Shark Night 3D,Horror|Thriller,English,USA,2011,David R. Ellis,Chris Zylka|Joel David Moore|Katharine McPhee,http://www.imdb.com/title/tt1633356/,2011-01-09
Warrior,Drama|Sport,English,USA,2011,Gavin O'Connor,Tom Hardy|Frank Grillo|Kevin Dunn,http://www.imdb.com/title/tt1291584/,2011-08-13
Straw Dogs,Action|Drama|Thriller,English,USA,2011,Rod Lurie,Alexander Skarsgård|Laz Alonso|Rhys Coiro,http://www.imdb.com/title/tt0999913/,2011-09-13
Carnage,Comedy|Drama,English,France,2011,Roman Polanski,Kate Winslet|Christoph Waltz|Julie Adams,http://www.imdb.com/title/tt1692486/,2011-03-27
Ironclad,Action|Adventure|History|Romance,English,UK,2011,Jonathan English,Jason Flemyng|Mackenzie Crook|Derek Jacobi,http://www.imdb.com/title/tt1233301/,2011-01-21
I Don't Know How She Does It,Comedy|Romance,English,USA,2011,Douglas McGrath,Olivia Munn|Busy Philipps|Jessica Szohr,http://www.imdb.com/title/tt1742650/,2011-02-05
The Ides of March,Drama,English,USA,2011,George Clooney,Ryan Gosling|Philip Seymour Hoffman|Jennifer Ehle,http://www.imdb.com/title/tt1124035/,2011-01-30
Haywire,Action|Thriller,English,Ireland,2011,Steven Soderbergh,Channing Tatum|Michael Fassbender|Michael Angarano,http://www.imdb.com/title/tt1506999/,2011-08-22
Tinker Tailor Soldier Spy,Drama|Mystery|Thriller,English,France,2011,Tomas Alfredson,Benedict Cumberbatch|Colin Firth|Gary Oldman,http://www.imdb.com/title/tt1340800/,2011-07-28
The Beaver,Drama,English,USA,2011,Jodie Foster,Jennifer Lawrence|Cherry Jones|Riley Thomas Stewart,http://www.imdb.com/title/tt1321860/,2011-10-08
The Descendants,Comedy|Drama,English,USA,2011,Alexander Payne,Shailene Woodley|Nick Krause|Beau Bridges,http://www.imdb.com/title/tt1033575/,2011-05-15
A Very Harold & Kumar 3D Christmas,Adventure|Comedy,English,USA,2011,Todd Strauss-Schulson,Patton Oswalt|Thomas Lennon|Paula Garcés,http://www.imdb.com/title/tt1268799/,2011-12-11
Monte Carlo,Adventure|Comedy|Family|Romance,English,Hungary,2011,Thomas Bezucha,Leighton Meester|Luke Bracey|Brett Cullen,http://www.imdb.com/title/tt1067774/,2011-01-29
What's Your Number?,Comedy|Romance,English,USA,2011,Mark Mylod,Chris Evans|Ari Graynor|Ed Begley Jr.,http://www.imdb.com/title/tt0770703/,2011-11-12
A Dangerous Method,Biography|Drama|Thriller,English,UK,2011,David Cronenberg,Michael Fassbender|Viggo Mortensen|Sarah Gadon,http://www.imdb.com/title/tt1571222/,2011-03-30
Bad Teacher,Comedy,English,USA,2011,Jake Kasdan,Justin Timberlake|John Michael Higgins|Phyllis Smith,http://www.imdb.com/title/tt1284575/,2011-01-18
The Devil's Double,Biography|Drama|Thriller,English,Belgium,2011,Lee Tamahori,Mem Ferda|Dominic Cooper|Ludivine Sagnier,http://www.imdb.com/title/tt1270262/,2011-05-26
Take Me Home Tonight,Comedy|Drama|Romance,English,USA,2011,Michael Dowse,Topher Grace|Michael Biehn|Dan Fogler,http://www.imdb.com/title/tt0810922/,2011-09-02
Diary of a Wimpy Kid: Rodrick Rules,Comedy|Family,English,USA,2011,David Bowers,Zachary Gordon|Rachael Harris|Fran Kranz,http://www.imdb.com/title/tt1650043/,2011-06-23
Soul Surfer,Biography|Drama|Family|Sport,English,USA,2011,Sean McNamara,Dennis Quaid|Chris Brochu|Craig T. Nelson,http://www.imdb.com/title/tt1596346/,2011-02-11
Beastly,Drama|Fantasy|Romance,English,USA,2011,Daniel Barnz,Alex Pettyfer|Mary-Kate Olsen|Erik Knudsen,http://www.imdb.com/title/tt1152398/,2011-06-04
The Artist,Comedy|Drama|Romance,English,France,2011,Michel Hazanavicius,Bérénice Bejo|Ed Lauter|Beth Grant,http://www.imdb.com/title/tt1655442/,2011-11-27
The Roommate,Drama|Horror|Thriller,English,USA,2011,Christian E. Christiansen,Leighton Meester|Danneel Ackles|Frances Fisher,http://www.imdb.com/title/tt1265990/,2011-04-09
Drive,Crime|Drama,English,USA,2011,Nicolas Winding Refn,Ryan Gosling|Albert Brooks|Russ Tamblyn,http://www.imdb.com/title/tt0780504/,2011-12-17
One Day,Drama|Romance,English,USA,2011,Lone Scherfig,Anne Hathaway|Jim Sturgess|Rafe Spall,http://www.imdb.com/title/tt1563738/,2011-08-19
Winnie Mandela,Biography|Drama|History,English,South Africa,2011,Darrell Roodt,Jennifer Hudson|Wendy Crewson|Aubrey Poo,http://www.imdb.com/title/tt1551641/,2011-01-07
The Son of No One,Crime|Drama|Thriller,English,USA,2011,Dito Montiel,Channing Tatum|Al Pacino|Tracy Morgan,http://www.imdb.com/title/tt1535612/,2011-03-11
The Iron Lady,Biography|Drama|History,English,UK,2011,Phyllida Lloyd,Meryl Streep|Jim Broadbent|Olivia Colman,http://www.imdb.com/title/tt1007029/,2011-06-29
Margaret,Drama,English,USA,2011,Kenneth Lonergan,Matt Damon|Kieran Culkin|John Gallagher Jr.,http://www.imdb.com/title/tt0466893/,2011-12-16
Justin Bieber: Never Say Never,Documentary|Music,English,USA,2011,Jon M. Chu,Usher Raymond|Sean Kingston|Boys II Men,http://www.imdb.com/title/tt1702443/,2011-11-30
Attack the Block,Action|Comedy|Sci-Fi|Thriller,English,UK,2011,Joe Cornish,John Boyega|Luke Treadaway|Jodie Whittaker,http://www.imdb.com/title/tt1478964/,2011-10-12
In the Land of Blood and Honey,Drama|Romance|War,Bosnian,USA,2011,Angelina Jolie Pitt,Jelena Jovanova|Nikola Djuricko|Branko Djuric,http://www.imdb.com/title/tt1714209/,2011-09-11
Young Adult,Comedy|Drama,English,USA,2011,Jason Reitman,Charlize Theron|Patton Oswalt|Collette Wolfe,http://www.imdb.com/title/tt1625346/,2011-01-29
Legend of Kung Fu Rabbit,Action|Adventure|Animation|Comedy|Family,Mandarin,China,2011,Lijun Sun,Jon Heder|Tom Arnold|Rebecca Black,http://www.imdb.com/title/tt1876517/,2011-07-17
5 Days of War,Action|Drama|War,English,Georgia,2011,Renny Harlin,Richard Coyle|Kenneth Cranham|Ana Imnadze,http://www.imdb.com/title/tt1486193/,2011-02-11
The Best Exotic Marigold Hotel,Comedy|Drama,English,UK,2011,John Madden,Tom Wilkinson|Penelope Wilton|Celia Imrie,http://www.imdb.com/title/tt1412386/,2011-01-22
My Week with Marilyn,Biography|Drama,English,UK,2011,Simon Curtis,Eddie Redmayne|Toby Jones|Julia Ormond,http://www.imdb.com/title/tt1655420/,2011-01-17
Cedar Rapids,Comedy,English,USA,2011,Miguel Arteta,Kurtwood Smith|Stephen Root|Alia Shawkat,http://www.imdb.com/title/tt1477837/,2011-01-09
Bucky Larson: Born to Be a Star,Comedy,English,USA,2011,Tom Brady,Don Johnson|Kevin Nealon|Nicholas Turturro,http://www.imdb.com/title/tt1411664/,2011-05-15
A Better Life,Drama|Romance,English,USA,2011,Chris Weitz,Demián Bichir|Eddie 'Piolin' Sotelo|Robert Peters,http://www.imdb.com/title/tt1554091/,2011-03-31
Killer Joe,Crime|Drama|Romance|Thriller,English,USA,2011,William Friedkin,Matthew McConaughey|Scott A. Martin|Carol Sutton,http://www.imdb.com/title/tt1726669/,2011-07-01
Coriolanus,Drama|Thriller|War,English,UK,2011,Ralph Fiennes,Gerard Butler|Ashraf Barhom|Lubna Azabal,http://www.imdb.com/title/tt1372686/,2011-01-11
You Got Served: Beat the World,Drama|Music,English,Canada,2011,Robert Adetuyi,Shane Pollard|Mishael Morgan|Chase Armitage,http://www.imdb.com/title/tt1568139/,2011-01-23
Melancholia,Drama|Sci-Fi,English,Denmark,2011,Lars von Trier,Alexander Skarsgård|Kirsten Dunst|Charlotte Rampling,http://www.imdb.com/title/tt1527186/,2011-09-17
Red Dog,Biography|Comedy|Drama|Family|Romance,English,Australia,2011,Kriv Stenders,Noah Taylor|Keisha Castle-Hughes|Luke Ford,http://www.imdb.com/title/tt0803061/,2011-08-26
Detention,Comedy|Horror|Sci-Fi,English,USA,2011,Joseph Kahn,Josh Hutcherson|Shanley Caswell|Parker Bagley,http://www.imdb.com/title/tt1701990/,2011-02-12
Glee: The 3D Concert Movie,Documentary|Music,English,USA,2011,Kevin Tancharoen,Lea Michele|Heather Morris|Kevin McHale,http://www.imdb.com/title/tt1922612/,2011-02-09
Polisse,Crime|Drama,French,France,2011,Maïwenn,Riccardo Scamarcio|Maïwenn|Karin Viard,http://www.imdb.com/title/tt1661420/,2011-09-24
50/50,Comedy|Drama|Romance,English,USA,2011,Jonathan Levine,Joseph Gordon-Levitt|Anna Kendrick|Bryce Dallas Howard,http://www.imdb.com/title/tt1306980/,2011-03-15
Prom,Comedy|Drama,English,USA,2011,Joe Nussbaum,Cameron Monaghan|Thomas McDonell|Aimee Teegarden,http://www.imdb.com/title/tt1604171/,2011-11-29
Albert Nobbs,Drama,English,UK,2011,Rodrigo García,Mia Wasikowska|Michael McElhatton|Mark Williams,http://www.imdb.com/title/tt1602098/,2011-03-12
Jumping the Broom,Comedy|Drama,English,USA,2011,Salim Akil,Gary Dourdan|Loretta Devine|Laz Alonso,http://www.imdb.com/title/tt1640484/,2011-10-20
We Need to Talk About Kevin,Drama|Thriller,English,UK,2011,Lynne Ramsay,Ezra Miller|Siobhan Fallon Hogan|Ashley Gerasimovich,http://www.imdb.com/title/tt1242460/,2011-06-21
Twixt,Comedy|Fantasy|Horror|Mystery,English,USA,2011,Francis Ford Coppola,Alden Ehrenreich|Bruce Dern|Joanne Whalley,http://www.imdb.com/title/tt1756851/,2011-08-21
Shame,Drama,English,UK,2011,Steve McQueen,Michael Fassbender|Nicole Beharie|James Badge Dale,http://www.imdb.com/title/tt1723811/,2011-07-06
Bernie,Comedy|Crime|Drama,English,USA,2011,Richard Linklater,Matthew McConaughey|Brandon Smith|Rick Dial,http://www.imdb.com/title/tt1704573/,2011-08-01
The Guard,Comedy|Crime|Thriller,English,Ireland,2011,John Michael McDonagh,Don Cheadle|Fionnula Flanagan|Wale Ojo,http://www.imdb.com/title/tt1540133/,2011-04-10
Snow Flower and the Secret Fan,Drama|History,English,China,2011,Wayne Wang,Bingbing Li|Russell Wong|Ji-hyun Jun,http://www.imdb.com/title/tt1541995/,2011-06-26
The Hit List,Action|Thriller,English,USA,2011,William Kaufman,Drew Waters|Sean Cook|Cole Hauser,http://www.imdb.com/title/tt1575694/,2011-04-12
Le Havre,Comedy|Drama,French,Finland,2011,Aki Kaurismäki,Jean-Pierre Léaud|Kati Outinen|Jean-Pierre Darroussin,http://www.imdb.com/title/tt1508675/,2011-09-13
Salvation Boulevard,Action|Comedy|Drama|Thriller,English,USA,2011,George Ratliff,Jim Gaffigan|Cree Kelly|Mike Eshaq,http://www.imdb.com/title/tt1251743/,2011-07-15
Headhunters,Crime|Drama|Thriller,Norwegian,Norway,2011,Morten Tyldum,Aksel Hennie|Synnøve Macody Lund|Julie R. Ølgaard,http://www.imdb.com/title/tt1614989/,2011-07-12
Dum Maaro Dum,Action|Crime|Drama|Thriller,Hindi,India,2011,Rohan Sippy,Abhishek Bachchan|Bipasha Basu|Prateik,http://www.imdb.com/title/tt1618430/,2011-07-19
Paranormal Activity 3,Horror,English,USA,2011,Henry Joost,Johanna Braddy|Sprague Grayden|Christopher Nicholas Smith,http://www.imdb.com/title/tt1778304/,2011-09-17
Our Idiot Brother,Comedy|Drama,English,USA,2011,Jesse Peretz,Zooey Deschanel|Adam Scott|Steve Coogan,http://www.imdb.com/title/tt1637706/,2011-07-18
Apollo 18,Horror|Mystery|Sci-Fi|Thriller,English,USA,2011,Gonzalo López-Gallego,Warren Christie|Ryan Robbins|Andrew Airlie,http://www.imdb.com/title/tt1772240/,2011-03-24
Sleep Tight,Drama|Horror|Thriller,Spanish,Spain,2011,Jaume Balagueró,Luis Tosar|Tony Corvillo|Marta Etura,http://www.imdb.com/title/tt1437358/,2011-07-06
We Have Your Husband,Crime|Drama|Thriller,English,USA,2011,Eric Bross,Teri Polo|Esai Morales|Nicholas Gonzalez,http://www.imdb.com/title/tt2063015/,2011-11-24
The Awakening,Horror|Thriller,English,UK,2011,Nick Murphy,Isaac Hempstead Wright|Imelda Staunton|Joseph Mawle,http://www.imdb.com/title/tt1687901/,2011-03-06
Take Shelter,Drama|Thriller,English,USA,2011,Jeff Nichols,Katy Mixon|Shea Whigham|Robert Longstreet,http://www.imdb.com/title/tt1675192/,2011-02-20
Without Men,Comedy,English,USA,2011,Gabriela Tagliavini,Maria Conchita Alonso|Kate del Castillo|Camryn Manheim,http://www.imdb.com/title/tt1547090/,2011-02-03
Saving Private Perez,Adventure|Comedy|Western,Spanish,Mexico,2011,Beto Gómez,Jaime Camil|Gerardo Taracena|Joaquín Cosio,http://www.imdb.com/title/tt0461336/,2011-05-16
Blackthorn,Action|Adventure|Western,English,Spain,2011,Mateo Gil,Sam Shepard|Dominique McElligott|Stephen Rea,http://www.imdb.com/title/tt1629705/,2011-03-24
Red State,Action|Crime|Horror|Thriller,English,USA,2011,Kevin Smith,Anna Gunn|Michael Angarano|Stephen Root,http://www.imdb.com/title/tt0873886/,2011-03-30
Samsara,Documentary|Music,None,USA,2011,Ron Fricke,Collin Alfredo St. Dic|Balinese Tari Legong Dancers|Puti Sri Candra Dewi,http://www.imdb.com/title/tt0770802/,2011-02-26
The Art of Getting By,Drama|Romance,English,USA,2011,Gavin Wiesen,Michael Angarano|Blair Underwood|Rita Wilson,http://www.imdb.com/title/tt1645080/,2011-09-28
Another Happy Day,Comedy|Drama,English,USA,2011,Sam Levinson,George Kennedy|Ezra Miller|Demi Moore,http://www.imdb.com/title/tt1719071/,2011-11-06
A Lonely Place to Die,Action|Adventure|Crime|Thriller,English,UK,2011,Julian Gilbey,Ed Speleers|Eamonn Walker|Sean Harris,http://www.imdb.com/title/tt1422136/,2011-12-07
Unknown,Action|Mystery|Thriller,English,UK,2011,Jaume Collet-Serra,Liam Neeson|Frank Langella|Aidan Quinn,http://www.imdb.com/title/tt1401152/,2011-09-26
Margin Call,Biography|Drama|Thriller,English,USA,2011,J.C. Chandor,Kevin Spacey|Demi Moore|Ashley Williams,http://www.imdb.com/title/tt1615147/,2011-02-10
August,Drama|Romance,English,USA,2011,Eldar Rapaport,Murray Bartlett|Adrian Gonzalez|Edward Conna,http://www.imdb.com/title/tt1753460/,2011-03-21
Hobo with a Shotgun,Action|Comedy|Thriller,English,Canada,2011,Jason Eisener,Gregory Smith|Robb Wells|Molly Dunsworth,http://www.imdb.com/title/tt1640459/,2011-08-08
Damsels in Distress,Comedy|Drama|Romance,English,USA,2011,Whit Stillman,Greta Gerwig|Megalyn Echikunwoke|Zach Woods,http://www.imdb.com/title/tt1667307/,2011-09-09
Fort McCoy,Drama|History|War,English,USA,2011,Kate Connor,Johnny Pacar|Eric Stoltz|Brendan Fehr,http://www.imdb.com/title/tt1282046/,2011-05-27
The Divide,Drama|Sci-Fi|Thriller,English,Germany,2011,Xavier Gens,Michael Biehn|Lauren German|Rosanna Arquette,http://www.imdb.com/title/tt1535616/,2011-03-26
Never Back Down 2: The Beatdown,Action|Drama|Sport,English,USA,2011,Michael Jai White,Michael Jai White|Alex Meraz|Jillian Murray,http://www.imdb.com/title/tt1754264/,2011-01-27
Go for It!,Drama|Musical,English,USA,2011,Carmen Marron,Jossara Jinaro|Aimee Garcia|Rene Rosado,http://www.imdb.com/title/tt1307926/,2011-03-02
Silent House,Drama|Horror|Mystery|Thriller,English,France,2011,Chris Kentis,Eric Sheffer Stevens|Julia Taylor Ross|Adam Trese,http://www.imdb.com/title/tt1767382/,2011-05-19
Courageous,Drama,English,USA,2011,Alex Kendrick,Ben Davies|Alex Kendrick|T.C. Stallings,http://www.imdb.com/title/tt1630036/,2011-10-07
Grave Encounters,Horror,English,Canada,2011,Colin Minihan,Mackenzie Gray|Sean Rogerson|Ashleigh Gryzko,http://www.imdb.com/title/tt1703199/,2011-07-05
The Legend of Hell's Gate: An American Conspiracy,Action|Adventure|History|Western,English,USA,2011,Tanner Beard,William McNamara|Kevin Alejandro|Glenn Morshower,http://www.imdb.com/title/tt1220217/,2011-12-27
Higher Ground,Drama,English,USA,2011,Vera Farmiga,Donna Murphy|Bill Irwin|Michael Chernus,http://www.imdb.com/title/tt1562568/,2011-11-26
The Greatest Movie Ever Sold,Comedy|Documentary,English,USA,2011,Morgan Spurlock,Quentin Tarantino|J.J. Abrams|Donald Trump,http://www.imdb.com/title/tt1743720/,2011-04-14
The Lion of Judah,Animation,English,USA,2011,Deryck Broom,Vic Mignogna|Omar Benson Miller|Anupam Kher,http://www.imdb.com/title/tt1212022/,2011-07-06
Q,Drama,French,France,2011,Laurent Bouhnik,Déborah Révy|Johnny Amaro|Yassine Azzouz,http://www.imdb.com/title/tt1879030/,2011-02-12
Below Zero,Thriller,English,Canada,2011,Justin Thomas Ostensen,Michael Berryman|Kristin Booth|Michael Eisner,http://www.imdb.com/title/tt1641388/,2011-02-06
The Raid: Redemption,Action|Crime|Thriller,Indonesian,Indonesia,2011,Gareth Evans,Iko Uwais|Yayan Ruhian|Donny Alamsyah,http://www.imdb.com/title/tt1899353/,2011-01-22
October Baby,Drama,English,USA,2011,Andrew Erwin,Rachel Hendrix|Robert Amaya|Jason Burkey,http://www.imdb.com/title/tt1720182/,2011-06-16
Martha Marcy May Marlene,Drama|Mystery|Thriller,English,USA,2011,Sean Durkin,Christopher Abbott|Julia Garner|Brady Corbet,http://www.imdb.com/title/tt1441326/,2011-04-29
My Last Day Without You,Comedy|Drama|Romance,English,USA,2011,Stefan C. Schaefer,Nicole Beharie|Marlene Forte|Reg E. Cathey,http://www.imdb.com/title/tt1679248/,2011-11-02
L!fe Happens,Comedy,English,USA,2011,Kat Coiro,Justin Kirk|Geoff Stults|Kristen Johnston,http://www.imdb.com/title/tt1726589/,2011-08-23
Circumstance,Drama,Persian,France,2011,Maryam Keshavarz,Sarah Kazemy|Reza Sixo Safai|Sina Amedson,http://www.imdb.com/title/tt1684628/,2011-10-13
Elza,Drama,French,France,2011,Mariette Monpierre,Stana Roumillac|Christophe Cherki|Teddy Doloir,http://www.imdb.com/title/tt1852001/,2011-09-30
A Separation,Drama|Mystery,Persian,Iran,2011,Asghar Farhadi,Shahab Hosseini|Leila Hatami|Peyman Moaadi,http://www.imdb.com/title/tt1832382/,2011-07-03
Kevin Hart: Laugh at My Pain,Comedy|Documentary,English,USA,2011,Leslie Small,Isaac C. Singleton Jr.|Larry King|Jeanette Branch,http://www.imdb.com/title/tt1999192/,2011-05-23
Kill List,Crime|Horror|Thriller,English,UK,2011,Ben Wheatley,MyAnna Buring|Ben Crompton|Neil Maskell,http://www.imdb.com/title/tt1788391/,2011-11-24
The Innkeepers,Horror,English,USA,2011,Ti West,Lena Dunham|Jake Ryan|Pat Healy,http://www.imdb.com/title/tt1594562/,2011-10-09
The Harvest/La Cosecha,Documentary,English,USA,2011,U. Roberto Romano,||,http://www.imdb.com/title/tt1981703/,2011-01-23
High Road,Comedy,English,USA,2011,Matt Walsh,Joe Lo Truglio|Matt Jones|Abby Elliott,http://www.imdb.com/title/tt1692084/,2011-12-01
Sholem Aleichem: Laughing in the Darkness,Documentary,English,USA,2011,Joseph Dorman,Rachel Dratch|Peter Riegert|Jason Kravits,http://www.imdb.com/title/tt1976608/,2011-01-07
Enter Nowhere,Mystery|Thriller,English,USA,2011,Jack Heller,Shaun Sipos|Katherine Waterston|Christopher Denham,http://www.imdb.com/title/tt1631707/,2011-07-14
Some Guy Who Kills People,Comedy|Crime|Drama|Horror|Mystery|Thriller,English,USA,2011,Jack Perez,Kevin Corrigan|Barry Bostwick|Ahmed Best,http://www.imdb.com/title/tt1568341/,2011-03-16
Like Crazy,Drama|Romance,English,USA,2011,Drake Doremus,Jennifer Lawrence|Charlie Bewley|Finola Hughes,http://www.imdb.com/title/tt1758692/,2011-08-06
Weekend,Drama|Romance,English,UK,2011,Andrew Haigh,Tom Cullen|Chris New|Vauxhall Jermaine,http://www.imdb.com/title/tt1714210/,2011-09-19
Another Earth,Drama|Romance|Sci-Fi,English,USA,2011,Mike Cahill,Robin Lord Taylor|William Mapother|Flint Beverage,http://www.imdb.com/title/tt1549572/,2011-09-21
Sound of My Voice,Drama|Mystery|Sci-Fi|Thriller,English,USA,2011,Zal Batmanglij,Christopher Denham|James Urbaniak|Constance Wu,http://www.imdb.com/title/tt1748207/,2011-08-21
Your Sister's Sister,Comedy|Drama,English,USA,2011,Lynn Shelton,Mark Duplass|Mike Birbiglia|Mel Eslyn,http://www.imdb.com/title/tt1742336/,2011-02-06
The FP,Comedy,English,USA,2011,Brandon Trost,Clifton Collins Jr.|Sean Whalen|James DeBello,http://www.imdb.com/title/tt1296373/,2011-06-26
Absentia,Drama|Horror|Mystery,English,USA,2011,Mike Flanagan,Justin Gordon|Courtney Bell|Erin Cipolletti,http://www.imdb.com/title/tt1610996/,2011-11-08
Raymond Did It,Horror,English,USA,2011,Travis Legge,Elissa Dowling|Patricia Raven|Lindsay Felton,http://www.imdb.com/title/tt1716760/,2011-12-24
The Ridges,Drama|Horror|Thriller,English,USA,2011,Brandon Landers,Robbie Barnes|Alana Kaniewski|Brandon Landers,http://www.imdb.com/title/tt1781935/,2011-10-09
All Superheroes Must Die,Sci-Fi|Thriller,English,USA,2011,Jason Trost,Sean Whalen|Jason Trost|Nick Principe,http://www.imdb.com/title/tt1836212/,2011-09-06
Newlyweds,Comedy|Drama,English,USA,2011,Edward Burns,Kerry Bishé|Caitlin FitzGerald|Daniella Pineda,http://www.imdb.com/title/tt1880418/,2011-05-12
Tangled,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,English,USA,2010,Nathan Greno,Brad Garrett|Donna Murphy|M.C. Gainey,http://www.imdb.com/title/tt0398286/,2010-12-21
Robin Hood,Action|Adventure|Drama|History,English,USA,2010,Ridley Scott,Mark Addy|William Hurt|Scott Grimes,http://www.imdb.com/title/tt0955308/,2010-06-03
Alice in Wonderland,Adventure|Family|Fantasy,English,USA,2010,Tim Burton,Johnny Depp|Alan Rickman|Anne Hathaway,http://www.imdb.com/title/tt1014759/,2010-09-11
TRON: Legacy,Action|Adventure|Sci-Fi,English,USA,2010,Joseph Kosinski,Jeff Bridges|Olivia Wilde|James Frain,http://www.imdb.com/title/tt1104001/,2010-06-15
Toy Story 3,Adventure|Animation|Comedy|Family|Fantasy,English,USA,2010,Lee Unkrich,Tom Hanks|John Ratzenberger|Don Rickles,http://www.imdb.com/title/tt0435761/,2010-06-21
Prince of Persia: The Sands of Time,Action|Adventure|Fantasy|Romance,English,USA,2010,Mike Newell,Jake Gyllenhaal|Richard Coyle|Reece Ritchie,http://www.imdb.com/title/tt0473075/,2010-10-23
Iron Man 2,Action|Adventure|Sci-Fi,English,USA,2010,Jon Favreau,Robert Downey Jr.|Scarlett Johansson|Jon Favreau,http://www.imdb.com/title/tt1228705/,2010-03-11
Shrek Forever After,Adventure|Animation|Comedy|Family|Fantasy,English,USA,2010,Mike Mitchell,Jon Hamm|Kathy Griffin|Mary Kay Place,http://www.imdb.com/title/tt0892791/,2010-11-01
How to Train Your Dragon,Adventure|Animation|Family|Fantasy,English,USA,2010,Dean DeBlois,Gerard Butler|America Ferrera|Craig Ferguson,http://www.imdb.com/title/tt0892769/,2010-06-26
Inception,Action|Adventure|Sci-Fi|Thriller,English,USA,2010,Christopher Nolan,Leonardo DiCaprio|Tom Hardy|Joseph Gordon-Levitt,http://www.imdb.com/title/tt1375666/,2010-11-06
The Sorcerer's Apprentice,Action|Adventure|Family|Fantasy,English,USA,2010,Jon Turteltaub,Nicolas Cage|Omar Benson Miller|Robert Capron,http://www.imdb.com/title/tt0963966/,2010-12-13
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure|Family|Fantasy,English,USA,2010,Michael Apted,Bruce Spence|Shane Rangi|Laura Brent,http://www.imdb.com/title/tt0980970/,2010-04-12
The Wolfman,Drama|Fantasy|Horror|Thriller,English,USA,2010,Joe Johnston,Anthony Hopkins|Simon Merrells|Art Malik,http://www.imdb.com/title/tt0780653/,2010-07-22
The Last Airbender,Action|Adventure|Family|Fantasy,English,USA,2010,M. Night Shyamalan,Seychelle Gabriel|Noah Ringer|Aasif Mandvi,http://www.imdb.com/title/tt0938283/,2010-05-18
Salt,Action|Crime|Mystery|Thriller,English,USA,2010,Phillip Noyce,Angelina Jolie Pitt|Andre Braugher|August Diehl,http://www.imdb.com/title/tt0944835/,2010-11-05
Megamind,Action|Animation|Comedy|Family|Sci-Fi,English,USA,2010,Tom McGrath,J.K. Simmons|Brad Pitt|Will Ferrell,http://www.imdb.com/title/tt1001526/,2010-02-23
Harry Potter and the Deathly Hallows: Part I,Fantasy,English,UK,2010,Matt Birch,Rupert Grint|Toby Jones|Alfred Enoch,http://www.imdb.com/title/tt1571403/,2010-04-16
Clash of the Titans,Action|Adventure|Fantasy,English,USA,2010,Louis Leterrier,Liam Neeson|Jason Flemyng|Alexa Davalos,http://www.imdb.com/title/tt0800320/,2010-04-15
How Do You Know,Comedy|Drama|Romance,English,USA,2010,James L. Brooks,Shelley Conn|Domenick Lombardozzi|Teyonah Parris,http://www.imdb.com/title/tt1341188/,2010-06-27
Knight and Day,Action|Comedy|Romance,English,USA,2010,James Mangold,Tom Cruise|Marc Blucas|Jordi Mollà,http://www.imdb.com/title/tt1013743/,2010-04-15
Gulliver's Travels,Adventure|Comedy|Family|Fantasy,English,USA,2010,Rob Letterman,James Corden|Catherine Tate|Olly Alexander,http://www.imdb.com/title/tt1320261/,2010-10-12
Little Fockers,Comedy|Romance,English,USA,2010,Paul Weitz,Robert De Niro|Blythe Danner|Teri Polo,http://www.imdb.com/title/tt0970866/,2010-03-09
The Other Guys,Action|Comedy|Crime,English,USA,2010,Adam McKay,Dwayne Johnson|Will Ferrell|Derek Jeter,http://www.imdb.com/title/tt1386588/,2010-10-27
The Tourist,Action|Romance|Thriller,English,USA,2010,Florian Henckel von Donnersmarck,Johnny Depp|Angelina Jolie Pitt|Rufus Sewell,http://www.imdb.com/title/tt1243957/,2010-07-05
Legend of the Guardians: The Owls of Ga'Hoole,Action|Adventure|Animation|Family|Fantasy,English,USA,2010,Zack Snyder,Abbie Cornish|Richard Roxburgh|Anthony LaPaglia,http://www.imdb.com/title/tt1219342/,2010-08-10
Green Zone,Action|Drama|Thriller|War,English,France,2010,Paul Greengrass,Matt Damon|Sean Huze|Igal Naor,http://www.imdb.com/title/tt0947810/,2010-09-21
Sex and the City 2,Comedy|Drama|Romance,English,USA,2010,Michael Patrick King,Chris Noth|Liza Minnelli|Kristin Davis,http://www.imdb.com/title/tt1261945/,2010-09-30
Percy Jackson & the Olympians: The Lightning Thief,Adventure|Family|Fantasy,English,UK,2010,Chris Columbus,Logan Lerman|Rosario Dawson|Steve Coogan,http://www.imdb.com/title/tt0814255/,2010-02-20
Unstoppable,Action|Thriller,English,USA,2010,Tony Scott,Denzel Washington|Rosario Dawson|Ethan Suplee,http://www.imdb.com/title/tt0477080/,2010-07-18
The Nutcracker in 3D,Action|Family|Fantasy|Musical,English,UK,2010,Andrey Konchalovskiy,Shirley Henderson|Nathan Lane|Richard E. Grant,http://www.imdb.com/title/tt1041804/,2010-04-03
